geohash,osm_id,postcode,street,housenumber,name,other_tags
0mg1mx,3378463301,271,Rua José Júlio Tortato,271,Chácara Krzak,addr:suburb=Campo de Santana; addr:postcode=81945-030
0mjpjq,4714951102,40,Rua Ewerton Leinig Saporski,40,,entrance=yes; addr:suburb=Campo de Santana; addr:postcode=85583-004
0mjqg2,4714951100,813,Rua Palmyra Crivellaro Bertolde,813,,entrance=yes; addr:suburb=Campo de Santana; addr:postcode=87583-002
0mjr2p,4714951099,170,Rua Fanny Bertholdi,170,,entrance=yes; addr:suburb=Campo de Santana; addr:postcode=87583-003
0mq3c3,4714948463,281,Rua Humberto Bertoldi,281,,addr:suburb=Campo de Santana; addr:postcode=87499-002
0mq66g,4714948462,160,Rua Pia Lazzari Bertoldi,160,,entrance=yes; addr:suburb=Campo de Santana; addr:postcode=87483-001
0qnrf7,3989121378,1600,Rua Ângelo Gai,1600,Chácara Baldan,phone=+55 41 3082 7416; amenity=community_centre; website=http://www.chacarabaldan.com.br/; addr:suburb=Umbará; addr:postcode=81940-340
0t2827,3748372878,92,Rua Albor Pimpão de Almeida,92,Cicles JD,shop=bicycle; phone=+55 (41) 3155-6122; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0t2d6f,4711355672,550,Rua Odir Gomes da Rocha,550,,entrance=yes; addr:suburb=Tatuquara
0t2mq5,3689717845,966,Rua Odir Gomes da Rocha,966,Caixa Agência Tatuquara,brand=Caixa; amenity=bank; operator=Caixa Econômica Federal
0t38jn,3748353407,858,Rua Enette Dubard,858,Clínica das Bikes,shop=bicycle; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0t6h0d,3748368940,1300,Rua Adriana Ceres Zago Bueno,1300,LF Bike,shop=bicycle; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0t75q5,3748382975,837,Rua Ernersto Germano Francisco Hanemmann,837,Cicles Ribeiro,shop=bicycle; phone=+55 (41) 3396-2446; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0td35v,4085282815,99,Rua Evilázio Augusto Bley,99,,barrier=gate
0v2kgj,3096049432,41,Rua Catarina Odreski,41,Zeus Tecnologia,phone=+55 41 3347-7000; office=it; website=http://zeustecnologia.com.br; wheelchair=yes; addr:suburb=Cidade Industrial; description=Empresa de Suporte Técnico em Informática.; addr:postcode=81460-275
0venxh,3648948794,2470,Rua Manoel Valdomiro de Macedo,2470,Caixa Cidade Industrial,brand=Caixa; amenity=bank; operator=Caixa Econômica Federal
0vubx9,4494363068,2601,Rua Pedro Gusso,2601,Universidade Tecnológica Federal do Paraná,phone=+55 41 3268 1749; amenity=university; phone_1=+55 41 3247 0966; website=http://www.utfpr.edu.br/curitiba; operator=Ministério da Educação; addr:suburb=Cidade Industrial de Curitiba; addr:postcode=81310900
0vuunw,4167362658,341,Rua Brazílio de Araújo,341,Plaza Madrid Condomínio,barrier=gate
0vvm4d,4167362654,1502,Rua José Zaleski,1502,Condomínio Vila Tenerife,barrier=gate
0vvnnd,4167362640,333,Rua Agostinho Brusamolin,333,Condomínio Barcelona Neoville,barrier=gate
0vvus6,4167362673,1701,Rua Pedro Gusso,1701,Residencial Santo André,barrier=gate
0vxfk2,4169547675,100,Rua Leonardo Javorski,100,Conjunto Residencial Mamoré,barrier=gate
0vy6f6,4169480119,661,Rua Senador Accioly Filho,661,Residencial Bella Vista,barrier=gate
0vy6gv,4169480113,622,Rua Senador Accioly Filho,622,Residencial Aete,barrier=gate
0vy73w,4169480124,585,Rua Senador Accioly Filho,585,Residencial Villa Lobos,barrier=gate
0vybhn,4167409031,2214,Rua Professor Algacyr Munhoz Mader,2214,Condomínio Residencial Marechal Rondon,barrier=gate
0vyppc,4953267067,1330,Rua Pedro Gusso,1330,Pet Shop Mimos de Bicho,"shop=pet; email=petmimosdebicho@gmail.com; phone=+55 41 33473236; operator=Pet Shop Mimos de Bicho; wheelchair=limited; description=Menor preço da região em rações, acessórios e medicamentos para cães, gatos e aves. Somos especialistas em pragas urbanas (formigas, baratas, aranhas, roedores e demais).; addr:postcode=81050200; opening_hours=Mo-Fr 08:30-19:00; Sa 08:30-15:00"
0vyv93,4167409044,487,Rua General Potiguara,487,Condomínio Mauá II,barrier=gate
0vzhgd,3028408609,1081,Rua Doutor Luíz Losso Filho,1081,Naturalis,phone=+55 41 3248-5329; amenity=fast_food; cuisine=burger; smoking=separated; addr:suburb=Novo Mundo; addr:postcode=81050-430
0vznv6,3028369985,691,Rua Theóphilo Mansur,691,Auto Elétrica Batista,shop=car_repair; phone=+55 41 9693-8680; addr:suburb=Capão Raso; addr:postcode=81050-380
0vzsed,4924420550,774,Rua Doutor Luíz Losso Filho,774,MajoPani,shop=bakery; addr:suburb=Novo Mundo
0vzss3,4924420866,750,Rua Doutor Luíz Losso Filho,750,Mundo Fitness,"leisure=fitness_centre; addr:suburb=Novo Mundo; opening_hours=Mo-Fr 06:00-22:00, Fr 10:00-14:00, Su Closed"
0w776k,4087945763,291,Rua Júlia Huga Maria Rebello,291,,barrier=gate
0wbh32,4680343452,476,Rua Colomba Merlin,476,Parque Lago Azul,access=permissive; entrance=main; addr:suburb=Ganchinho; addr:postcode=81935-560
0wd322,4087342985,1882,Rua Deputado Pinheiro Júnior,1882,,barrier=gate
0wd5qc,4087361362,281,Rua Humberto Negrello,281,,barrier=gate
0wtb1n,3748155899,1053,Rua Celeste Tortato Gabardo,1053,Bike Center Mania,shop=bicycle; phone=+55 (41) 3348-0966; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0wu1bc,4367720468,56,Rua Victalino José Bolicenha,56,Condomínio América,barrier=gate
0wu6xs,3748300486,1795,Rua Nova Esperança,1795,Cicles D Silva,shop=bicycle; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0wwdrg,3748169831,233,Rua Professora Amália Elza Gasparotto Doná,233,Cicles Ninja,shop=bicycle; phone=+55 (41) 3024-5447; website=http://www.ciclesninja.com; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0wy2dk,3748189647,2215,Rua Celeste Tortato Gabardo,2215,Cicles Malinovski,shop=bicycle; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0wz26t,3748279270,403,Rua Tijucas do Sul,403,,shop=bicycle; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0wz53b,3748135988,259,Rua São José dos Pinhais,259,Cicles Oliveira,shop=bicycle; phone=+55 (41) 3349-3512; addr:country=BR; service:bicycle:diy=no; service:bicycle:pump=yes; service:bicycle:rental=no; service:bicycle:repair=yes; service:bicycle:retail=no; service:bicycle:cleaning=yes; service:bicycle:chain_tool=yes; service:bicycle:second_hand=yes
0wzevs,3689250804,1171,Rua dos Pioneiros,1171,Caixa Econômica Federal - Ag Sítio Cercado,amenity=bank
